     0.0462758      0.0769962      0.0274505      0.0204635       0.022871     0.00812319     -0.0362277    -0.00952704     -0.0370105     -0.0135802 
      0.093287        0.13296      0.0520952      0.0396524      0.0449111        0.01623     -0.0720613     -0.0190826     -0.0740147     -0.0271475 
       0.14188       0.152586      0.0714193       0.056373      0.0653243      0.0242959      -0.107117     -0.0286907      -0.111003     -0.0406899 
      0.192991       0.130451       0.083474      0.0695711      0.0833669      0.0322947      -0.141018     -0.0383736      -0.147967     -0.0541956 
      0.247646      0.0724873       0.087089      0.0783861      0.0983662       0.040202      -0.173397      -0.048154      -0.184896     -0.0676528 
       0.30696    -0.00563295      0.0820029      0.0821934       0.109735      0.0480011      -0.203897     -0.0580574      -0.221783     -0.0810489 
      0.372127     -0.0827669      0.0688973      0.0806318       0.116984       0.055688      -0.232165     -0.0681147      -0.258625     -0.0943706 
       0.44441      -0.138053      0.0493304      0.0736163       0.119728      0.0632783      -0.257854      -0.078366      -0.295421      -0.107602 
       0.52513      -0.156591      0.0255775      0.0613357       0.117691      0.0708125       -0.28062     -0.0888631      -0.332181      -0.120727 
      0.615663      -0.133497    0.000394242      0.0442341        0.11071      0.0783618      -0.300122      -0.099673      -0.368923      -0.133724 
      0.717433     -0.0752352     -0.0232712      0.0229793      0.0987285       0.086033      -0.316016      -0.110881      -0.405676      -0.146571 
      0.831907     0.00212951     -0.0425859    -0.00158211      0.0817938      0.0939736      -0.327955      -0.122594      -0.442481      -0.159238 
      0.960575      0.0772988     -0.0551261     -0.0284819      0.0600443       0.102377      -0.335588      -0.134943      -0.479396      -0.171693 
       1.10489       0.129521     -0.0591239     -0.0566976      0.0336929       0.111492      -0.338548      -0.148094      -0.516497      -0.183898 
       1.26617       0.144217     -0.0536343     -0.0852324     0.00299738       0.121637      -0.336446       -0.16225      -0.553886      -0.195806 
       1.44529       0.116927     -0.0386039      -0.113206     -0.0317814       0.133224      -0.328847      -0.177672      -0.591699      -0.207359 
       1.64245       0.054483     -0.0148342      -0.139951     -0.0704323       0.146793      -0.315246      -0.194699      -0.630115      -0.218487 
        1.8567     -0.0268713       0.016147      -0.165093      -0.112845       0.163039      -0.295039      -0.213763      -0.669373        -0.2291 
